block,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,perplexity,rougeL,bleu
1,2.383678674697876,1207.0247,4.142,1.036,1.0,10.844723785912013,,
2,2.352355480194092,1206.3536,4.145,1.036,1.0,10.51029738786531,,
3,2.336923599243164,1206.5342,4.144,1.036,1.0,10.349348793641305,,
4,2.324496030807495,1207.1375,4.142,1.036,1.0,10.221527452579414,,
5,2.314371347427368,1206.543,4.144,1.036,1.0,10.118559860188864,,
6,2.3070316314697266,1207.4641,4.141,1.035,1.0,10.04456438996799,,
7,2.300257444381714,1206.5925,4.144,1.036,1.0,9.976750582610753,,
8,2.294358491897583,1206.3015,4.145,1.036,1.0,9.918071447849645,,
9,2.288158655166626,1205.2677,4.148,1.037,1.0,9.85677124616254,,
10,2.2839577198028564,1206.0502,4.146,1.036,1.0,9.815450441046309,,
